id,n_images,image_sizes,n_image_tokens,n_prompt_tokens
validation_Energy_and_Power_20,1,1120x928,1015,1174
validation_Energy_and_Power_21,1,1472x704,1012,1124
validation_Energy_and_Power_22,1,1088x960,1020,1133
validation_Energy_and_Power_23,1,1120x928,1015,1130
validation_Energy_and_Power_24,1,1472x704,1012,1087
validation_Energy_and_Power_25,1,1280x800,1000,1212
validation_Energy_and_Power_26,1,1504x704,1034,1171
validation_Energy_and_Power_27,1,960x1088,1020,1142
validation_Energy_and_Power_28,1,1312x800,1025,1275
validation_Energy_and_Power_29,1,1312x800,1025,1165
validation_Energy_and_Power_30,1,1408x736,1012,1152
validation_Finance_1,1,1248x832,1014,1149
validation_Finance_2,1,1888x544,1003,1105
validation_Finance_3,1,1664x608,988,1088
validation_Finance_4,1,1248x832,1014,1166
validation_Finance_5,1,1696x608,1007,1214
validation_Finance_6,1,1664x640,1040,1213
validation_Finance_7,1,1856x576,1044,1263
validation_Finance_8,1,1952x544,1037,1218
validation_Finance_9,1,1120x928,1015,1196
validation_Finance_10,1,2272x448,994,1141
validation_Finance_11,1,1504x704,1034,1220
validation_Finance_12,1,2592x416,1053,1176
validation_Finance_13,1,1440x736,1035,1218
validation_Finance_14,1,928x1088,986,1125
validation_Finance_15,1,1600x640,1000,1123
validation_Finance_16,1,1152x896,1008,1168
validation_Finance_17,1,1600x640,1000,1038
validation_Finance_18,1,1888x544,1003,1112
validation_Finance_19,1,1440x736,1035,1120
validation_Finance_20,1,832x1248,1014,1096
validation_Finance_21,1,1504x704,1034,1176
validation_Finance_22,1,1632x640,1020,1128
validation_Finance_23,1,2080x512,1040,1131
validation_Finance_24,1,1888x544,1003,1088
validation_Finance_25,1,1088x928,986,1110
validation_Finance_26,1,1440x736,1035,1176
validation_Finance_27,1,1152x896,1008,1168
validation_Finance_28,1,1792x576,1008,1119
validation_Finance_29,1,1696x608,1007,1145
validation_Finance_30,1,1600x640,1000,1038
validation_Geography_1,1,1728x608,1026,1158
validation_Geography_2,1,1472x704,1012,1099
validation_Geography_3,1,1600x640,1000,1069
validation_Geography_4,1,992x1024,992,1015
validation_Geography_5,1,1312x800,1025,1122
validation_Geography_6,1,896x1152,1008,1083
validation_Geography_7,1,1376x768,1032,1106
validation_Geography_8,1,2048x512,1024,1207
validation_Geography_9,1,1152x896,1008,1070
validation_Geography_10,1,1472x704,1012,1167
validation_Geography_11,1,1216x896,1064,1123
validation_Geography_12,1,1536x672,1008,1111
validation_Geography_13,1,1152x896,1008,1151
validation_Geography_14,1,896x1152,1008,1132
validation_Geography_15,1,1056x1440,1485,1576
validation_Geography_16,4,1280x800 1312x800 1792x576 928x1120,4048,4125
validation_Geography_17,1,1312x768,984,1062
validation_Geography_18,1,2848x384,1068,1118
validation_Geography_19,1,1344x768,1008,1075
validation_Geography_20,1,928x1088,986,1071
validation_Geography_21,1,960x1056,990,1064
validation_Geography_22,1,992x1024,992,1026
validation_Geography_23,1,1728x608,1026,1127
validation_Geography_24,1,1280x800,1000,1074
validation_Geography_25,1,832x1280,1040,1155
validation_Geography_26,1,1216x864,1026,1155
validation_Geography_27,1,1600x640,1000,1099
validation_Geography_28,1,1248x832,1014,1114
validation_Geography_29,1,1440x736,1035,1091
validation_Geography_30,1,1632x640,1020,1169
validation_History_1,1,1152x896,1008,1142
validation_History_2,1,1088x960,1020,1106
validation_History_3,1,928x1120,1015,1110
validation_History_4,1,1280x800,1000,1094
validation_History_5,1,1920x1056,1980,2140
validation_History_6,1,1088x1024,1088,1242
validation_History_7,1,992x1024,992,1142
validation_History_8,1,1280x800,1000,1112
validation_History_9,1,1312x800,1025,1107
validation_History_10,1,1248x832,1014,1119
validation_History_11,1,1056x992,1023,1090
validation_History_12,1,1664x960,1560,1653
validation_History_13,1,1216x864,1026,1122
validation_History_14,1,896x1152,1008,1112
validation_History_15,2,928x1120 1120x928,2030,2126
validation_History_16,1,1280x896,1120,1228
validation_History_17,1,1216x832,988,1081
validation_History_18,2,1216x864 1120x928,2041,2122
validation_History_19,1,1184x896,1036,1155
validation_History_20,1,1280x800,1000,1096
validation_History_21,1,1120x928,1015,1085
validation_History_22,1,992x1056,1023,1147
validation_History_23,1,992x1056,1023,1131
validation_History_24,1,992x1056,1023,1136
validation_History_25,1,1280x800,1000,1087
validation_History_26,1,1408x736,1012,1116
validation_History_27,1,1216x864,1026,1137
validation_History_28,1,928x1120,1015,1125
validation_History_29,1,1152x896,1008,1081
validation_History_30,1,1344x768,1008,1160
validation_Literature_1,1,1280x832,1040,1119
validation_Literature_2,1,1152x896,1008,1082
validation_Literature_3,1,1024x1024,1024,1099
validation_Literature_4,1,1184x896,1036,1136
validation_Literature_5,4,864x1216 800x1280 800x1280 832x1248,4040,4107
validation_Literature_6,1,1056x1088,1122,1204
validation_Literature_7,1,1024x1024,1024,1094
validation_Literature_8,1,1408x736,1012,1102
validation_Literature_9,1,1472x704,1012,1077
validation_Literature_10,1,1088x928,986,1061
validation_Literature_11,1,1216x864,1026,1109
